,Title,Interventions,Phases
191,treatment protocol nhl bfm nopho study groups mature aggressive b cell lymphoma leukemia children adolesc,drug  rituximab window drug  additional doses rituximab drug  cyclophosphamide drug  cytarabine drug  dexamethasone drug  doxorubicin hydrochloride drug  vindesine sulfate drug  etoposide drug  ifosfamide drug  methotrexate drug  prednisolone drug  vincristin,phase 3
192,safety study btk inhibitor  dtrmwxhs 12  used singly combination  cll b cell lymphoma,drug  dtrmwxhs 12 drug  dtrm 505 drug  dtrm 555,phase 1
193,study pembrolizumab  mk 3475  participants relapsed refractory primary mediastinal large b cell lymphoma relapsed refractory richter syndrome  mk 3475 170 keynote 170 ,biological  pembrolizumab,phase 2
194,phase study ac0010 patients cll  sll  mcl  dlbcl nhl,drug  ac0010ma,phase 1
195,efficacy safety pz01 treatment patients r r cd19  b cell acute lymphoblastic leukemia b cell lymphoma,drug  pz01 car cel,phase 1
196,impact cd34  cell dose progression free survival following high dose therapy autologous stem cell transplantation relapsed refractory diffuse large b cell lymphoma  dlbcl ,procedure  leukapheresis drug  plerixafor drug  carmustine  etoposide  cytarabine  melphalan procedure  autologous stem cell transplant,phase 2
197,study obinutuzumab  ro5072759  ga101   combination chop chemotherapy patients previously untreated advanced diffuse large b cell lymphoma  gather ,drug  obinutuzumab drug  cyclophosphamide drug  doxorubicin drug  prednisone drug  vincristin,phase 2
198,early phase evaluation abc294640 patients refractory relapsed diffuse large b cell lymphoma kaposi sarcoma,drug  abc294640,phase 1 phase 2
199,study evaluating inotuzumab ozogamicin  cmc 544  plus rituximab diffuse large b cell non hodgkin lymphoma,drug  inotuzumab ozogamicin  cmc 544  drug  rituximab,phase 2
200,mini chop rituximab patients aged 80 year,drug  r mini chop,phase 2
201,pilot study ruxolitinib relapsed refractory hodgkin lymphoma primary mediastinal large b cell lymphoma,drug  ruxolitinib,phase 2
202,dose escalation study clofarabine patients relapsed refractory low grade intermediate grade b cell lymphoma,drug  clofarabin,phase 1
203,rituximab gemcitabine patients relapsed refractory diffuse large b cell lymphoma,drug  rituximab drug  gemcitabin,phase 2
204,safety efficacy study btk inhibitor subjects relapsed refractory diffuse large b cell lymphoma,drug  ibrutinib,phase 2
205,ibrutinib  bortezomib rituximab chop treatment elderly patients cd20  dlbcl  ipi ≥ 2,drug  ibrutinib bortezomib   r chop,phase 1 phase 2
206,r megachop eshap beam patients high risk aggressive b cell lymphoma,procedure  immunotherapy procedure  induction treatment part 1 procedure  induction treatment part 2 pbpc collection procedure  induction treatment part 3 procedure  consolidation treatment part 1  hd chemotherapy asct radiation  consolidation treatment part 2  radiotherapi,phase 2
207,ibrutinib combination chemotherapy treating patients relapsed refractory diffuse large b cell lymphoma,drug  carboplatin drug  etoposide drug  ibrutinib drug  ifosfamide laboratory biomarker analysis pharmacological study biological  rituximab,phase 1
208,phase 1 study evaluating safety efficacy c car011 treatment dlbcl subject,biological  c car 011,phase 1
209,study inotuzumab ozogamicin   temsirolimus patients relapsed refractory cd22  b cell nhlymphoma,drug  inotuzumab ozogamicin drug  temsirolimu,phase 1
210,study rtxm83 plus chop chemotherapy versus rituximab plus chop therapy patients non hodgkin lymphoma,biological  rtxm83,phase 3
211,ps 341 alone ps 341 plus epoch chemotherapy treat non hodgkin lymphoma,drug  ps 341 drug  etoposide drug  doxorubicin drug  vincristine drug  cyclophosphamide drug  prednisone drug  filgrastim,phase 2
212,rituximab hypercvad  r hcvad  alternating rituximab methotrexate cytarabine   r mc  newly diagnosed patients diffuse large b cell lymphoma myc rearrangement ,drug  r hcvad r mc,phase 2
213,study zevalin versus observation patients least 60 yrs old newly diagnosed diffuse large b cell lymphoma pet negative complete remission r chop r chop like therapi,drug  zevalin  ibritumomab tiuxetan ,phase 3
214,cd19 22 car cells  auto3  treatment diffuse large b cell lymphoma,biological  auto3,phase 1 phase 2
215,study gdc 0853 patients resistant b cell lymphoma chronic lymphocytic leukemia ,drug  gdc 0853,phase 1
216,clinical prognostic value sarcopenia patients older 70 years diffuse large b cell lymphoma,procedure  anthropometric measur,applicable
217,situ vaccine low grade lymphoma  combination intratumoral flt3l poly iclc low dose radiotherapi,drug  rhuflt3l cdx 301 drug  poly iclc,phase 1 phase 2
218,study obinutuzumab combined lenalidomide treatment relapsed refractory follicular aggressive b cell lymphoma,drug  lenalidomide ga101,phase 1 phase 2
219,phase ii study evaluate combination rituximab depocyte® c5r chemotherapy protocol patients ages 18 60 years primary cerebral non hodgkin lymphoma systemic diffuse large b cell lymphoma neuromeningeal invasion diagnosi,drug  rituximab drug  cytarabin,phase 2
220,romidepsin  gemcitabine  dexamethasone cisplatin treatment peripheral cell diffuse large b cell lymphoma,drug  gemcitabine drug  dexamethasone drug  cisplatin drug  romidepsin,phase 1
221,trial lenalidomide given maintenance therapy relapsed diffuse large b cell lymphoma,drug  lenalidomid,phase 2
222,r±ceop90 versus r±ceop75 newly diagnosed young patients medium high risk dlbcl,drug  high dose epirubicin combined cvp ± rituximab drug  standard dose epirubicin combined cvp ± rituximab,phase 3
223,yt90 zevalin combination chemotherapy  z chop treating patients stage ii  stage iii  stage iv diffuse large b cell lymphoma,drug  yttrium 90  labeled ibritumomab tiuxetan  zevalin ,phase 2
224,multicentre  randomized phase iii study rituximab maintenance treatment versus observation patients aggressive b cell lymphoma  nhl 13,drug  rituximab,phase 3
225,combination chemotherapy  shr 1210 decitabine relapsed refractory pmbcl,drug  decitabine drug  gvd chemotherapy drug  shr 1210,phase 1 phase 2
226,study evaluating safety tolerability inotuzumab ozogamicin  cmc 544  japanese patients b cell non hodgkin lymphoma  nhl ,drug  inotuzumab ozogamicin  cmc 544 ,phase 1
227,cd19 car cells patients relapsed refractory cd19 positive b cell lymphoma,biological  cd19 car cel,phase 1
228,oral panobinostat adult patients dlbcl relapsed refractory stem cell transfusion  asct  eligible asct,drug  panobinostat,phase 2
229,r chop alone vs  r chop plus radiotherapy localized cd20  dlbcl,drug  r chop radiation  radiotherapi,phase 3
230,study brentuximab vedotin combined rchop rchp front line treatment patients diffuse large b cell lymphoma  dlbcl ,drug  brentuximab vedotin drug  rituximab drug  vincristine drug  cyclophosphamide drug  prednisone drug  doxorubicin,phase 2
231,nanochip technology monitoring treatment response detecting relapse participants diffuse large b cell lymphoma,procedure  molecular nanotechnolog,applicable
232,safety efficacy bendamustine  gemcitabine  rituximab  nivolumab  begern  patients r r dlbcl,drug  bendamustine hydrochloride drug  gemcitabine 500 mg drug  gemcitabine 700 mg drug  gemcitabine 1000 mg drug  nivolumab drug  rituximab,phase 1 phase 2
233,treatment patients diffuse large b cell lymphoma suitable anthracycline containing chemotherapi,drug  cyclophosphamide drug  vincristine drug  prednisolone drug  rituximab drug  inotuzumab ozogamicin drug  gemcitabin,phase 2
234,blinatumomab consolidation post autologous stem cell transplantation patients diffuse large b cell lymphoma  dlbcl ,drug  blinatumomab procedure  autologous stem cell transplant drug  carmustine drug  etoposide drug  cytarabine drug  melphalan procedure  peripheral blood draw,phase 1
235,trial r gemox regimen previously untreated elderly patients dlbcl ,drug  r gemox,phase 2
236,storm  temsirolimus  rituximab dhap relapsed refractory diffuse large b cell lymphoma,drug  rituximab  temsirolimus  dhap  intraven,phase 2
237,nivolumab ipilimumab primed immunotransplant dlbcl,drug  ipilimumab drug  nivolumab,phase 1 phase 2
238,study brentuximab vedotin  rituximab  dose attenuated chp elderly patients diffuse large b cell lymphoma  dlbcl ,drug  brentuximab vedotin drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  prednison,phase 2
239,treatment advanced b cell lymphoma,drug  rituximab drug  cytarabin,phase 2
240,study ym155 refractory diffuse large b cell lymphoma  dlbcl  subject,drug  ym155,phase 2
241,intergroup trial children adolescents primary mediastinal large b cell lymphoma  da epoch rituximab evalu,drug  etoposide  doxorubicin  vincristine  cyclophosphamide  rituximab,phase 2
242,abbreviated r chop completely excised stage ii dlbcl,drug  rituximab plus chop immunochemotherapi,phase 2
243,dose escalation study patients relapsed refractory dlbcl myd88 l265p mut,drug  imo 8400,phase 1 phase 2
244,study abt 199 plus ibrutinib rituximab patients relapsed refractory diffuse large b cell lymphoma,drug  abt 199 drug  ibrutinib drug  rituximab,phase 1
245,study tazemetostat participants relapsed refractory b cell non hodgkin lymphoma ezh2 gene mut,drug  tazemetostat,phase 2
246,observational study mabthera rituxan  rituximab  combination chop chemotherapy first line patients diffuse large b cell lymphoma,nan,nan
247,phase 1 study tazemetostat patients relapsed refractory b cell non hodgkin lymphoma,drug  tazemetostat,phase 1
248,idelalisib rituximab  ifosfamide  carboplatin  etoposide  rice  children adolesc,drug  idelalisib drug  rituximab drug  ifosfamide drug  carboplatin drug  etoposid,phase 1
249,trial radiotherapy durvalumab dlbcl,drug  durvalumab radiation  radiotherapi,phase 1
250,clinical trial chinese patients b cell non hodgkin lymphoma gb226 ,biological  gb226,phase 2
251,phase ii study rituximab cyclophosphamide  doxorubicin  vincristine  prednisone  chop  patients gastric diffuse large b cell non hodgkin lymphoma,drug  rituximab   chop chemotherapi,phase 2
252,molecular monitoring circulating tumor dna nivolumab mainten,drug  nivolumab  iv  240 mg,early phase 1
253,study sgn 35  brentuximab vedotin  patients relapsed refractory pmlbcl,drug  brentuximab vedotin,phase 2
254,observational study mabthera rituxan  rituximab  plus chemotherapy first line treatment patients diffuse large b cell lymphoma follicular lymphoma,nan,nan
255,chidamide r chop regimen dlbcl pati,drug  chidamide   r chop regimen,phase 2
256,chidamide plus dice regimen patients relapse refractory b cell non hodgkin lymphoma  nhl ,drug  chidamide plus dice regimen,phase 2
257,erythropoietin management anemia caused chemotherapi,drug  darbepoetin alfa drug  r chop,phase 2
258,study assess enzastaurin   r chop subjects dlbcl genomic biomarker dgm1™,drug  enzastaurin hydrochloride r chop   placebo,phase 3
259,linfotargam  treatment chemotherapy plus rituximab highly active antiretroviral therapy patients diffuse large b cell lymphoma infection human immunodeficiency virus  hiv ,drug  r chop drug  highly active antiretroviral therapy drug  central nervous system  cns  prophylaxis drug  prophylaxis opportunistic infections support treat,phase 4
260,safety efficacy bkm120 relapsed refractory nhl,drug  buparlisib,phase 2
261,study evaluate safety efficacy mosunetuzumab  btct4465a  combination polatuzumab vedotin b cell non hodgkin lymphoma,drug  mosunetuzumab drug  polatuzumab vedotin drug  rituximab drug  bendamustine drug  obinutuzumab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  tocilizumab,phase 1
262,study hmpl 523 patients relapsed refractory mature b cell neoplasm,drug  hmpl 523,phase 1
263,r chop14 r chop21  consolidation pet oriented radiotherapy  rt  dlbcl pati,drug  treatment plan,phase 2
264,ipilimumab rituximab treating patients relapsed refractory b cell lymphoma,biological  ipilimumab laboratory biomarker analysis biological  rituximab,phase 1
265,cyber association relapsed refractory dlbcl,drug  rituximab drug  bendamustine drug  cytarabin,phase 2
266,study lenalidomide revlimid  plus rituximab  revlirit regimen  elderly patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,drug  lenalidomide plus rituximab,phase 2
267,mabioncd20® compared mabthera® lymphoma pati,drug  rituximab drug  doxorubicin drug  vincristine drug  cyclophosphamide drug  prednison,phase 3
268,chidamide plus r chop elderly dlbcl,drug  rituximab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  chidamid,phase 2
269,phase ib ii study investigating safety  tolerability  pharmacokinetics  efficacy mosunetuzumab  btct4465a  combination chop chp polatuzumab vedotin participants b cell non hodgkin lymphoma,drug  mosunetuzumab drug  polatuzumab vedotin drug  rituxumab drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  tocilizumab,phase 1 phase 2
270,ga newly diagnosed diffuse large b cell lymphoma,drug  ga101 drug  rituximab drug  doxorubicin drug  cyclophosphamide drug  prednisone drug  bleomycin drug  vindesin drug  vincristin,phase 3
271,reduced chemotherapy low risk dlbcl,drug  rituximab drug  cyclophosphamide drug  epirubicin drug  vincristine drug  prednison,phase 4
272,efficacy safety study mdv9300 patients relapsed refractory diffuse large b cell lymphoma  dlbcl ,biological  mdv9300,phase 2
273,dose adjusted epoch r myc positive dlbcl,drug  da epoch r,phase 2
274,copanlisib nivolumab treating participants recurrent refractory diffuse large b cell lymphoma primary mediastinal large b cell lymphoma,drug  copanlisib laboratory biomarker analysis biological  nivolumab,phase 2
275,medi4736 alone combination tremelimumab azd9150 adult subjects relapsed refractory dlbcl  d4190c00023 ,drug  medi4736 drug  tremelimumab drug  azd9150,phase 1
276,velcade®  bortezomib  rituximab subjects relapsed refractory indolent b cell lymphoma,drug  velcade rituximab,phase 2
277,pharmacokinetic study comparing sct400 rituximab patients b cell non hodgkin lymphoma,drug  sct400 drug  rituximab,phase 2
278,study dpx survivac vaccine therapy patients recurrent survivin expressing dlbcl,biological  dpx survivac drug  cyclophosphamid,phase 2
279,study evaluate efficacy safety subsequent treatment zevalin  ibritumomab tiuxetan  elderly  60 years  patients diffuse large b cell lymphoma 4 cycles chop21 rituximab  chop21 r  therapi,drug  chop21 r drug  zevalin,phase 2
280,study evaluate safety efficacy lenalidomide mor00208 patients r r dlbcl,drug  mor00208 drug  lenalidomid,phase 2
281,phase ii study combination chop 21  obinutuzumab ibrutinib untreated young high risk dlbcl patients ,drug  obinutuzumab drug  ibrutinib drug  chop,phase 2
282,bortezomib maintenance high risk dlbcl,drug  bortezomib,phase 2
283,study betalutin treatment relapsed refractory non hodgkin lymphoma  lymrit 37 05 ,drug  betalutin,phase 1
284,gp2013 japanese patients cd20 positive low tumor burden indolent b cell non hodgkin lymphoma,drug  gp2013,phase 1
285,interim pet ct guided cycle numbers r chop dlbcl,drug  r chop,phase 2
286,da epoch rituximab metformin  rm  double hit lymphoma,drug  metformin,phase 2
287,lenalidomide plus ice treatment refractory relapsed dlbcl,drug  lenalidomide drug  ifosfamide drug  carboplatin drug  etoposid,phase 2
288,rice ibrutinib relapsed dlbcl,drug  ibrutinib ric,phase 2
289,study efficacy safety ctl019 adult dlbcl pati,biological  ctl019,phase 2
290,study bi 1206 combination rituximab subjects indolent b cell non hodgkin lymphoma,biological  bi1206,phase 1 phase 2
291,safety  pharmacokinetics pharmacodynamics recombinant chimeric anti cd20 monoclonal antibody patients b cell non hodgkin lymphoma ,biological  chimeric anti cd20 monoclonal antibodi,phase 1
292,rituximab combination chemotherapy without lenalidomide treating patients newly diagnosed stage ii iv diffuse large b cell lymphoma,drug  cyclophosphamide drug  doxorubicin hydrochloride laboratory biomarker analysis drug  lenalidomide drug  prednisone biological  rituximab drug  vincristine sulf,phase 2
293,study evaluate bruton tyrosine kinase  btk  inhibitor pci 32765 patients recurrent mature b cell neoplasm,drug  pci 32765,phase 1
294,study pralatrexate treat patients relapsed refractory b cell non hodgkin lymphoma,drug  pralatrexate injection dietary supplement  vitamin b12 dietary supplement  folic acid,phase 2
295,study evaluating tru 015 b cell non hodgkin lymphoma,biological  tru 015,phase 1 phase 2
296,efficacy lenalidomide combination subcutaneous rituximab   minichop dlbcl patients 80 ,drug  lenalidomide drug  rituximab,phase 3
297,provide initial evidence safety  pharmacokinetics  pharmacodynamics  efficacy support pivotal ct p10 therapeutic equivalence tri,biological  rituximab,phase 1
298,btk inhibitor bgb 3111 chinese patients large b cell lymphoma  non gcb  indolent lymphoma  fl mzl ,drug  bgb 3111,phase 2
299,zevalin twice aggressive non hodgkin lymphoma,drug  90y ibritumomab tiuxetan,phase 2
300,gene therapy b cell non hodgkin lymphoma using cd19 car gene transduced lymphocyt,drug  cyclophosphamide bendamustine genetic  dose level  1 genetic  dose level 1 genetic  dose level 2 genetic  dose level 3,phase 1 phase 2
301,chemotherapy monoclonal antibody radioimmunotherapy high risk b cell non hodgkins lymphoma,drug  cyclophosphamide drug  etoposide drug  rituximab drug  cytarabine drug  doxorubicin drug  tositumomab,phase 2
302,car cell receptor immunotherapy patients b cell lymphoma,drug  fludarabine drug  cyclophosphamide biological  anti cd19 car pbl,phase 1 phase 2
303,phase study alisertib   r epoch treatment myc positive aggressive b cell lymphoma,drug  alisertib,phase 1
304,first line antibiotic therapy early stage hp    gastric pure dlbcl,drug  lansoprazole  amoxicillin  clarithromycin  metronidazol,phase 2
305,rituximab pembrolizumab treating patients relapsed refractory follicular lymphoma diffuse large b cell lymphoma,laboratory biomarker analysis biological  pembrolizumab biological  rituximab,phase 2
306,study ontak patients relapsed refractory  b cell non hodgkin lymphoma,drug  ontak  denileukin diftitox ,phase 2
307,study evaluating cmc 544 b cell non hodgkin lymphoma,drug  inotuzumab ozogamicin  cmc 544 ,phase 1
308,effect blinatumomab mrd dlbcl subjects post ahsct,drug  blinatumomab,phase 2
309,study evaluating inotuzumab ozogamicin  cmc 544  administered combination rituximab subjects non hodgkin lymphoma  nhl ,drug  inotuzumab ozogamicin drug  rituximab,phase 1 phase 2
310,atezolizumab  gemcitabine  oxaliplatin  rituximab treating patients relapsed refractory transformed diffuse large b cell lymphoma,drug  atezolizumab drug  gemcitabine laboratory biomarker analysis drug  oxaliplatin biological  rituximab,phase 1
311,study combining ibrutinib rituximab  cyclophosphamide  doxorubicin  vincristine  prednisone patients cd20 positive b cell non hodgkin lymphoma,drug  part 1  cohort 1 drug  part 1  cohort 2 drug  part 1  cohort 3 drug  part 2  cohort 1 drug  part 2  cohort 2,phase 1
312,external beam radiotherapy zevalin management indolent b cell non hodgkin lymphoma,external beam radiotherapy plus 90 ibritumomab tiuxetan,phase 1
313,pilot study standard dose rituximab  ifosfamide  carboplatin etoposide  rice  plus bortezomib  velcade  dose escalating fashion patients relapsed primary refractory aggressive b cell non hodgkin lymphoma candidates autologous stem cell transpl,drug  rituximab  ifosfamide  carboplatin  etoposide  bortezomib,early phase 1
314,rituximab  lenalidomide  nivolumab treating participants relapsed refractory non germinal center type diffuse large b cell lymphoma primary central nervous system lymphoma,biological  nivolumab biological  rituximab drug  lenalidomid,phase 1 phase 2
315,pk pd  safety tolerability multiple dose regimens mt 3724 gemcitabine oxaliplatin treatment patients relapsed refractory diffuse large b cell non hodgkin lymphoma  mt 3724 nhl 002 ,drug  mt 3724,phase 2
316,pk  pd  safety  tolerability multiple dose regimens mt 3724 treatment patients relapsed non hodgkin b cell lymphoma b cell chronic lymphocytic leukemia,drug  mt 3724,phase 1
317,study canfosfamide refractory relapsed mantle cell  diffuse large b cell lymphoma multiple myeloma,drug  canfosfamide hcl inject,phase 2
318,study evaluate safety  tolerability  pharmacokinetics  efficacy amg 562 subjects r r diffuse large b cell lymphoma  mantle cell lymphoma  follicular lymphoma,drug  amg 562,phase 1
319,study mocetinostat selected patients mutations acetyltransferase genes relapsed refractory diffuse large b cell lymphoma follicular lymphoma,drug  mocetinostat,phase 1 phase 2
320,rituximab addition chemotherapy autologous stem cell transplantation treatment diffuse large b cell lymphoma,drug  rituximab drug  epirubicin drug  cyclophosphamide drug  vincristine drug  prednisone drug  granulocyte colony stimulating factor drug  mitoxantrone drug  cytarabine ara c drug  dexamethasone drug  carmustine bcnu drug  etoposide drug  melphalan radiation  radiotherapy procedure  pbsc reinfus,phase 2
321,open label study investigating safety efficacy blinatumomab combination pembrolizumab  keynote 348 ,drug  blinatumomab drug  pembrolizumab,phase 1
322,optimal 60   dr  chop  improvement therapy elderly patients cd20  dlbcl using rituximab optimized liposomal vincristin,drug  conventional vincristine drug  liposomal vincristine drug  ricover scheme rituximab drug  optimised rituximab schedul,phase 3
323,phase 1 2  multicenter  open label study aeg35156 patients relapsed refractory chronic lymphocytic leukemia indolent b cell lymphoma,drug  aeg35156 antisense iv infus,phase 1 phase 2
324,study evaluate efficacy tolerability debio 1562 combination rituximab patients relapsed refractory dlbcl forms nhl,drug  debio 1562 drug  rituximab,phase 2
325,ga101 minichop regimen treatment elderly unfit patients diffuse large b cell non hodgkin lymphoma,drug  ga101,phase 2
326,study evaluate efficacy safety cudc 907 patients rr dlbcl  including patients myc alt,drug  cudc 907,phase 2
327,phase ii study dose adjusted epoch rituximab adults untreated burkitt lymphoma c myc  diffuse large b cell lymphoma,drug  epoch r drug  epoch rr,phase 2
328,rituximab plus bendamustine front line treatment frail elderly   70 years  patients dlbcl  phase ii multicenter study fil,drug  bendamustine rituximab,phase 2
329,pk pd  safety tolerability multiple dose regimens mt 3724 lenalidomide treatment patients relapsed refractory diffuse large b cell non hodgkin lymphoma  mt 3724 nhl 003 ,drug  mt 3724,phase 2
330,study lenalidomide combination rice lenalidomide maintenance post auto transplant dlbcl,drug  revlimid,phase 1 phase 2
331,study pinatuzumab vedotin  dcdt2980s  combined rituximab polatuzumab vedotin  dcds4501a  combined rituximab obinutuzumab participants relapsed refractory b cell non hodgkin lymphoma  nhl ,drug  obinutuzumab drug  pinatuzumab vedotin drug  polatuzumab vedotin drug  rituximab,phase 1 phase 2
332,long term follow study clinical study subjects treated actr087,actr087,nan
333,bendamustine   rituximab older patients previously untreated diffuse large b cell lymphoma,drug  bendamustine drug  rituximab,phase 2
334,ledipasvir sofosbuvir sofosbuvir velpatasvir pts indolent bcell lymphoma associated hcv infect,drug  ledipasvir sofosbuvir drug  sofosbuvir velpatasvir,phase 2
335,study evaluating safety tolerability combination therapy inotuzumab ozogamicin  cmc 544  rituximab,drug  inotuzumab ozogamicin  cmc 544  drug  rituximab  rituxan ,phase 1
336,feasibility study induction maintenance avelumab plus r chop patients diffuse dlbcl  avr chop studi,drug  avelumab,early phase 1
337,safety  tolerability  pharmacokinetics  immunoregulatory study urelumab  bms 663513  subjects advanced metastatic solid tumors relapsed refractory b cell non hodgkin lymphoma,drug  urelumab  bms 663513 ,phase 1
338,mln4924 compared mln4924 plus chemotherapy large b cell lymphoma,drug  mln4924 drug  etoposide drug  prednisone drug  vincristine drug  cyclophosphamide drug  doxorubicin drug  rituximab drug  filgrastim,phase 1 phase 2
339,pharmacokinetic pharmacodynamic study comparing hlx01 rituximab patients cd20 positive  b cell lymphoma,drug  hlx01 drug  rituximab,phase 1 phase 2
340,tolerance pharmacokinetics shr1459 patients recurrent replased refractory mature b cell neoplasmstumor,drug  shr1459,phase 1
341,phase ii study vismodegib patients refractory relapsed b cell lymphoma chronic lymphocytic leukemia,drug  vismodegib,phase 2
342,phase 1b 2 safety tolerability study medi6469 combination therapeutic immune agents monoclonal antibodi,biological  medi6469 monotherapy biological  medi6469 plus tremelimumab biological  medi6469 plus durvalumab biological  medi6469 plus rituximab,phase 1 phase 2
343,early treatment stratification based pet scan response chemotherapy patients diffuse large b cell lymphoma,drug  r megachop,phase 2
344,venetoclax  ibrutinib  prednisone  obinutuzumab  revlimid  vipor  relapsed refractory b cell lymphoma,drug  venetoclax drug  ibrutinib drug  prednisone drug  obinutuzumab drug  revlimid  lenalidomide ,phase 1
345,atezolizumab  rituximab  gemcitabine oxaliplatin patients relapsed refractory dlbcl suitable high dose therapi,drug  atezolizumab drug  rituximab drug  gemcitabine 1000 mg drug  oxaliplatin 100 mg,phase 2
346,ibrutinib treating patients relapsed refractory transformed indolent b cell non hodgkin lymphoma,drug  ibrutinib laboratory biomarker analysi,applicable
347,study bkm120   rituximab patients relapsed refractory indolent b cell lymphoma,drug  pi3k inhibitor bkm120 biological  rituximab pharmacodynamics correlative studi,phase 1
348,treatment study denintuzumab mafodotin  sgn cd19a  plus rice versus rice alone diffuse large b cell lymphoma,drug  denintuzumab mafodotin drug  rituximab drug  ifosfamide drug  carboplatin drug  etoposid,phase 2
349,optimized donor selection  nonmyeloablative bmt b cell lymphomas post transplantation cy rituximab,drug  fludarabine drug  cyclophosphamide radiation  total body irradiation drug  tacrolimus drug  mycophenolate mofetil drug  rituximab biological  allogeneic bone marrow transplant  bmt ,phase 2
350,phaseⅰb study evaluating safety efficacy c car011 treatment b  nhl subject,biological  cd19 directed car cel,phase 1
351,marginal zone lymphoma cohort korea,rituximab,nan
352,phase iii study syb l 0501 combination rituximab treat recurrent relapsed diffuse large b cell lymphoma,drug  rituximab,phase 3
353,comparative study efficacy safety lipegfilgrastim comparison pegfilgrastim elderly patients aggressive b cell non hodgkin lymphomas high risk r chop 21 induced neutropenia,drug  lipegfilgrastim drug  pegfilgrastim,phase 3
354,study rituximab  cyclophosphamide  doxorubicin liposomal  myocet®   vincristine  prednisone   r comp  treat non hodgkin lymphoma,drug  rituximab drug  cyclophosphamide drug  vincristine drug  prednisone drug  doxorubicin,phase 2
355,efficacy   safety treatment r nimp relapsed aggressive lymphoma,drug  rituximab drug  vinorelbine drug  ifosfamide drug  mitoxantrone drug  prednison,phase 2
356,treatment aggressive localized lymphoma,drug  rituximab drug  doxorubicin drug  vincristine drug  prednisone procedure  radiotherapi,phase 3
357,retrospective analysis rituximab containing immunochemotherapy burkitt burkitt like lymphoma adult,intervention  observational study ,nan
358,safety antitumor activity study loncastuximab tesirine   ibrutinib diffuse large b cell mantle cell lymphoma,drug  loncastuximab tesirine ibrutinib,phase 1
359,cd19 chimeric receptor expressing lymphocytes b cell non hodgkin lymphoma  cl,genetic  cd19car 28 zeta cells drug  ipilimumab,phase 1
360,rituximab plus chop sargramostim patients newly diagnosed diffuse large b cell lymphoma,drug  rituximab,phase 2
361,carfilzomib  rituximab  ifosfamide  carboplatin  etoposide treating patients relapsed refractory stage iv diffuse large b cell lymphoma,drug  carboplatin drug  carfilzomib drug  etoposide drug  ifosfamide laboratory biomarker analysis pharmacological study biological  rituximab,phase 1 phase 2
362,dna sequencing based monitoring minimal residual disease predict clinical relapse aggressive b cell non hodgkin lymphoma,collected pre treatment tumor biopsy peripheral blood tests device  pet ct,applicable
363,combination rituximab nk immunotherapy b lymphoma,drug  rituximab biological  nk immunotherapi,phase 1 phase 2
364,mln8237 patients relapsed refractory aggressive b cell lymphoma treated rituximab     vincristin,drug  alisertib  mln8237  drug  rituximab drug  vincristin,phase 1 phase 2
365,phase ii study fil elderly frail patients dlbcl,drug  rituximab dexamethasone lenalidomid,phase 2
366,pembrolizumab relapsed refractory gray zone lymphoma  gzl   primary central nervous system lymphoma  pcnsl   extranodal diffuse large b cell lymphoma,drug  pembrolizumab,phase 2
367,sequential therapy cd19 targeted cd20 targeted car cell therapy diffuse large b cell lymphoma dlbcl ,biological  anti cd19 car cells anti cd20 car cel,phase 1 phase 2
368,efficacy safety study syb l 0501 combination rituximab patients untreated  low grade b cell non hodgkin lymphoma mantle cell lymphoma,drug  syb l 0501 drug  rituximab,phase 2
369,procurement follicular b cell lymphoma cells purpose possible use future clinical tri,procedure  procurement follicular b cell lymphoma cel,nan
370,sequential infusion anti cd19 anti cd20 car cells relapsed refractory b cell lymphoma,biological  mixed cd19 cd20 car transf,phase 1 phase 2
371,tailoring treatment b cell non hodgkin lymphoma based pet scan results mid treat,drug  cyclophosphamide drug  doxorubicin drug  vincristine drug  prednisone drug  ondansetron drug  dexamethasone drug  diphenhydramine drug  acetaminophen drug  ifosfamide drug  mesna  iv  drug  mesna  oral  drug  carboplatin drug  etoposide drug  rituximab pet scan,phase 2
372,chop rituximab augmented gm csf patients previously untreated diffuse large b cell non hodgkin lymphoma,drug  gm csf drug  chop drug  rituximab,phase 2
373,study incb050465 japanese subjects previously treated b cell lymphoma  citadel 111 ,drug  incb050465,phase 1
374,clinical trial evaluate r comp versus r chop newly diagnosed patients non localised diffuse large b cell lymphoma  dlbcl  follicular lymphoma grade iiib,drug  rcomp drug  rchop,phase 2
375,study ofatumumab part scheme reduced intensity conditioning high risk non hodgkin lymphoma b pati,drug  ofatumumab,phase 2
376,ibrutinib stem cell transplant treating patients relapsed refractory diffuse large b cell lymphoma,procedure  autologous bone marrow transplantation procedure  autologous hematopoietic stem cell transplantation drug  carmustine drug  cyclophosphamide drug  cytarabine drug  etoposide drug  ibrutinib laboratory biomarker analysis drug  melphalan pharmacogenomic study placebo,phase 3
