"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
246,"NCT03456726","Study of Tazemetostat in Participants With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma With EZH2 Gene Mutation",,"Recruiting","No Results Available","Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma","Drug: Tazemetostat","Objective response rate (ORR)|Progression-free survival (PFS)|Duration of response (DOR)|Time to response (TTR)|Number of participants with any adverse event, as an assessment of safety","Eisai Co., Ltd.|Eisai Inc.","All","20 Years and older   (Adult, Older Adult)","Phase 2","21","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","E7438-J081-206","April 9, 2018","September 30, 2020","September 30, 2020","March 7, 2018","null","August 28, 2018","1004 Eisai Trial Site, Nagoya, Aichi, Japan|1029 Eisai Trial Site, Nagoya, Aichi, Japan|1020 Eisai Trial Site, Ota, Gunma, Japan|1007 Eisai Trial Site, Sapporo, Hokkaido, Japan|1019 Eisai Trial Site, Kobe, Hyogo, Japan|1005 Eisai Trial Site, Tsukuba, Ibaraki, Japan|1002 Eisai Trial Site, Isehara, Kanagawa, Japan|1028 Eisai Trial Site, Yokohama, Kanagawa, Japan|1021 Eisai Trial Site, Sendai, Miyagi, Japan|1013 Eisai Trial Site, Osakasayama, Osaka, Japan|1006 Eisai Trial Site, Suita, Osaka, Japan|1027 Eisai Trial Site, Suntou-gun, Shizuoka, Japan|1014 Eisai Trial Site, Shimotsuke, Tochigi, Japan|1026 Eisai Trial Site, Bunkyo-ku, Tokyo, Japan|1001 Eisai Trial Site, Chuo-ku, Tokyo, Japan|1025 Eisai Trial Site, Koto-ku, Tokyo, Japan|1017 Eisai Trial Site, Minato-ku, Tokyo, Japan|1022 Eisai Trial Site, Aomori, Japan|1010 Eisai Trial Site, Chiba, Japan|1012 Eisai Trial Site, Fukuoka, Japan|1016 Eisai Trial Site, Fukuoka, Japan|1011 Eisai Trial Site, Hiroshima, Japan|1024 Eisai Trial Site, Kumamoto, Japan|1003 Eisai Trial Site, Kyoto, Japan|1008 Eisai Trial Site, Kyoto, Japan|1023 Eisai Trial Site, Nagasaki, Japan|1009 Eisai Trial Site, Okayama, Japan|1015 Eisai Trial Site, Osaka, Japan|1018 Eisai Trial Site, Yamagata, Japan","","https://ClinicalTrials.gov/show/NCT03456726"
247,"NCT01724294","An Observational Study of MabThera/Rituxan (Rituximab) in Combination With CHOP Chemotherapy in First-Line in Patients With Diffuse Large B-Cell Lymphoma",,"Terminated","No Results Available","Diffuse Large B-Cell Lymphoma","","Treatment patterns in clinical practice: Number of treatment cycles received|Event-free survival|Response rates|Safety: Incidence of adverse events","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","","113","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML28497","December 2012","April 2016","April 2016","November 9, 2012","null","November 2, 2016","Bucuresti, Romania","","https://ClinicalTrials.gov/show/NCT01724294"
248,"NCT03009344","A Phase 1 Study of Tazemetostat in Patients With Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma",,"Active, not recruiting","No Results Available","Relapsed or Refractory B-cell Non-Hodgkin's Lymphoma","Drug: tazemetostat","Dose-limiting toxicity (DLT) of tazemetostat during Cycles 0 and 1|Objective response rate (ORR) based on The Lugano Classification (CT-Based Response)|Mean maximum concentration (Cmax) of tazemetostat in blood|Mean time to reach maximum concentration (Tmax) of tazemetostat in blood|Mean area under the drug concentration-time curve (AUC) after first administration of tazemetostat in blood|Mean area under the drug concentration-time curve (AUC) after repeated administration of tazemetostat in blood|Mean maximum concentration (Cmax) of ER-897387 in blood|Mean time to reach maximum concentration (Tmax) of ER-897387 in blood|Mean area under the drug concentration-time curve (AUC) after first administration of ER-897387 in blood|Mean area under the drug concentration-time curve (AUC) after repeated administration of ER-897387 in blood|Number of participants with any serious adverse event and number of participants with any non-serious adverse event","Eisai Co., Ltd.|Eisai Inc.","All","20 Years and older   (Adult, Older Adult)","Phase 1","6","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","E7438-J081-106","January 23, 2017","July 12, 2017","September 1, 2018","January 4, 2017","null","August 28, 2018","Eisai Trial Site, Isehara, Kanagawa, Japan|Eisai Trial Site, Chuo-ku, Tokyo, Japan","","https://ClinicalTrials.gov/show/NCT03009344"
249,"NCT03349346","Idelalisib With Rituximab, Ifosfamide, Carboplatin, Etoposide (RICE) in Children and Adolescents",,"Recruiting","No Results Available","Diffuse Large B-Cell Lymphoma|Mediastinal B-cell Lymphoma","Drug: Idelalisib|Drug: Rituximab|Drug: Ifosfamide|Drug: Carboplatin|Drug: Etoposide","Incidence Rate of Dose Limiting Toxicities (DLTs)|Proportion of Participants Experiencing Adverse Events (AEs)|Proportion of Participants Experiencing Serious Adverse Events (SAEs)|Proportion of Participants Experiencing Adverse Events (AEs) Leading to Idelalisib Interruption, Idelalisib Dose Reduction, Premature Discontinuation of Idelalisib, or Death|Rate of Grade ≥ 3 Transaminase Elevations Based on Laboratory Findings|Overall Response Rate (ORR)|Overall Survival (OS)|Progression-Free Survival (PFS)|Pharmacokinetic Parameter: Cmax of Idelalisib|Pharmacokinetic Parameter: Cmax of GS-563117|Pharmacokinetic Parameter: Ctrough of Idelalisib|Pharmacokinetic Parameter: Ctrough of GS-563117|Pharmacokinetic Parameter: Area Under the Concentration-Time Curve (AUC) of Idelalisib|Pharmacokinetic Parameter: Area Under the Concentration-Time Curve (AUC) of GS-563117|Levels of Optional Exploratory Biomarkers on Bone Marrow Samples (eg pAKT, pS6 ribosomal protein) and plasma cytokines|Acceptability and Palatability of Idelalisib 10-mg Dispersible Tablet","Gilead Sciences","All","1 Year to 18 Years   (Child, Adult)","Phase 1","36","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GS-US-313-1090|2017-001468-39","October 2018","February 2021","February 2026","November 21, 2017","null","September 11, 2018","Centre Hospitalier Régional Universitaire de Lille, Lille, France|Istituto Giannina Gaslini, Genova, Italy|Ospedale Pediatrico Bambino Gesu, Roma, Italy|Hospital Vall d´Hebrón, Barcelona, Spain|Hospital Universitario HM Monteprincipe, Madrid, Spain","","https://ClinicalTrials.gov/show/NCT03349346"
250,"NCT03610061","A Trial of Radiotherapy and Durvalumab in DLBCL","RaDD","Not yet recruiting","No Results Available","Diffuse Large B Cell Lymphoma","Drug: Durvalumab|Radiation: Radiotherapy","Number of participants treated with radiotherapy and durvalumab with treatment-related adverse events as assessed using CTCAE v4.0. To determine the maximum tolerated dose (MTD).|Response rates (according to the Lugano classification for Response Criteria for Non-Hodgkin Lymphoma)|Progression free survival|Overall survival","Austin Health|Olivia Newton-John Cancer Research Institute|AstraZeneca","All","18 Years and older   (Adult, Older Adult)","Phase 1","36","Other|Industry","Interventional","Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ONJ2017-003-DV-008259|TRP16-006","September 2018","February 2021","February 2023","August 1, 2018","null","August 1, 2018","","","https://ClinicalTrials.gov/show/NCT03610061"
251,"NCT03639181","Clinical Trial in Chinese Patients of B-cell Non-Hodgkin's Lymphoma(GB226)",,"Recruiting","No Results Available","B-cell Non-Hodgkin's Lymphoma","Biological: GB226","ORR|PFS|DOR|DCR|Assessment of safety parameters|Immunogenicity of Gxplore-003","Genor Biopharma Co., Ltd.","All","18 Years and older   (Adult, Older Adult)","Phase 2","53","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Gxplore-003","June 15, 2018","September 30, 2018","December 30, 2020","August 21, 2018","null","August 21, 2018","Cancer Hospital Chinese Academy of Medical Sciences, Beijing, Beijing, China","","https://ClinicalTrials.gov/show/NCT03639181"
252,"NCT00204659","Phase II Study With Rituximab and Cyclophosphamide, Doxorubicin, Vincristine, Prednisone (CHOP) in Patients With Gastric Diffuse Large B-Cell Non-Hodgkin`s Lymphoma",,"Completed","No Results Available","Primary Gastric Diffuse-Large B-Cell Lymphoma","Drug: Rituximab + CHOP chemotherapy","Complete remission rate|Progression-free survival|Overall survival|Toxicity","University Hospital Tuebingen|Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 2","30","Other|Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","64-03","March 2003","September 2008","September 2008","September 20, 2005","null","October 20, 2008","Zentralklinikum Augsburg, Augsburg, Germany|University of Giessen, Giessen, Germany|Klinikum Reutlingen, Reutlingen, Germany|University of Tubingen, Tuebingen, Germany|Schwarzwald-Baar Clinic, Villingen-Schwenningen, Germany","","https://ClinicalTrials.gov/show/NCT00204659"
253,"NCT03311958","Molecular Monitoring With Circulating Tumor DNA and Nivolumab Maintenance",,"Recruiting","No Results Available","Diffuse Large B Cell Lymphoma","Drug: Nivolumab, IV, 240 mg","Evaluation of the rate of conversion from positive to negative ctDNA in nivolumab treated patients|To evaluate adverse events in patients on nivolumab as maintenance drug in post-induction, post-salvage and post-autologous transplant setting|Relapse free survival (RFS-ctDNA) for nivolumab treated patients|Proportion of patients who are able to convert from ctDNA positive to ctDNA negative after nivolumab treatment|To compare the ctDNA results of Clonoseq and Neolabs platform","Fox Chase Cancer Center","All","18 Years and older   (Adult, Older Adult)","Early Phase 1","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HM-110","May 15, 2018","April 15, 2019","April 15, 2021","October 17, 2017","null","May 18, 2018","Fox Chase Cancer Center, Philadelphia, Pennsylvania, United States","","https://ClinicalTrials.gov/show/NCT03311958"
254,"NCT02423291","A Study of SGN-35 (Brentuximab Vedotin) of Patients With Relapsed or Refractory PMLBCL","FIL_SGN01","Completed","Has Results","Primary Mediastinal Large B Cell Lymphoma","Drug: Brentuximab Vedotin","Overall Objective Response Rate in Patients With Relapsed or Refractory PMLBCL","Fondazione Italiana Linfomi ONLUS","All","18 Years and older   (Adult, Older Adult)","Phase 2","15","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FIL_SGN01","October 2013","July 2016","July 2016","April 22, 2015","June 26, 2017","June 26, 2017","S.C. Ematologia A.O. SS. Antonio e Biagio e C. Arrigo, Alessandria, AL, Italy|Unità funzionale di Ematologia A.O.U. Careggi, Firenze, FI, Italy|Dip. Oncologia, Ematologia e Patologie dell'apparato respiratorio A.O.U. Policlinico di Modena, Modena, MO, Italy|Divisione di Ematologia Azienda Ospedaliera ""Bianchi Melacrino Morelli"", Reggio Calabria, RC, Italy|S. C. Ematologia IRCCS Azienda Ospedaliera Arcispedale ""S.Maria Nuova"", Reggio Emilia, RE, Italy|S.C.D.O. Ematologia 2 A.O. Città della Salute e della Scienza, Torino, TO, Italy|Istituto di Ematologia L. & A. Seragnoli, Bologna, Italy|Ematologia Ospedale Businco, Cagliari, Italy|Dipartimento di Biotecnologie Cellulari ed Ematologia Università ""La Sapienza"", Roma, Italy","","https://ClinicalTrials.gov/show/NCT02423291"
255,"NCT01340443","An Observational Study of MabThera/Rituxan (Rituximab) Plus Chemotherapy As First-Line Treatment in Patients With Diffuse Large B-Cell Lymphoma or Follicular Lymphoma",,"Completed","No Results Available","Diffuse Large B-Cell Lymphoma","","Safety: Incidence of adverse events|Overall Response Rate (complete response + partial response)|Progression-free survival, defined as time from first treatment to lymphoma progression or death|Overall Survival, defined as time from 1st treatment to death of any cause","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","","314","Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","ML25435","January 19, 2011","July 15, 2016","July 15, 2016","April 22, 2011","null","November 14, 2017","The Affiliated Hospital of Military Medical Sciences(The 307th Hospital of Chinese PLA), Beijing, China|the First Hospital of Jilin University, Changchun, China|Xiangya Hospital of Centre-South University, Changsha, China|Changzhou First People's Hospital, Changzhou, China|Daqing Oilfield General Hospital, Daqing, China|The First People's Hospital of Foshan, Foshan, China|Fuzhou General Hospital, PLA Nanjing Military Area Command, Fuzhou, China|Fujian Provincial Hospital, Fuzhou, China|Nanfang Hospital, Southern Medical University, Guangzhou, China|The affiliated Hospital of Guiyang Medical College, Guiyang, China|The Second Affiliated Hospital of Zhejiang University College, Hangzhou, China|Anhui Province Cancer Hospital, Hefei, China|Affiliated Hospital of Inner Mongolia Medical College, Hohhot, China|Shandong Cancer Hospital, Jinan, China|The First Affilliated Hospital of Kunming Medical College, Kunming, China|Lanzhou General Hospital, PLA Lanzhou Military Area Command, Lanzhou, China|Jiangsu Cancer Hospital, Nanjing, China|Hebei Medical University Fourth Hospital;(Tumor Hospital of Hebei Province), Shijiazhuang, China|Shanxi Province Cancer Hospital, Taiyuan, China|Xiehe Hospital, Tongji Medical College Huazhong University of Science & Technology, Wuhan, China|The Second Affiliated Hospital of The Fourth Military Medical University (Tangdu Hospital), Xi'an, China|Henan Cancer Hospital, Zhengzhou, China|The First Affiliated Hospital of Zhengzhou University, Zhengzhou, China|Zhongshan General Hospital, Zhongshan, China","","https://ClinicalTrials.gov/show/NCT01340443"
256,"NCT03201471","Chidamide With R-CHOP Regimen for DLBCL Patients","DLBCL","Recruiting","No Results Available","Diffuse Large B Cell Lymphoma","Drug: Chidamide + R-CHOP regimen","complete remission rate|progression free survival|overall survival|adverse events","First Affiliated Hospital of Zhejiang University","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","39","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","lymphoma center Q001","August 20, 2017","December 30, 2019","February 5, 2020","June 28, 2017","null","August 2, 2018","The first affiliated hospital of Zhejiang University, Hangzhou, Zhejiang, China","","https://ClinicalTrials.gov/show/NCT03201471"
257,"NCT03105596","Chidamide Plus DICE Regimen for Patients With Relapse or Refractory B-cell Non-Hodgkin's Lymphoma (NHL)",,"Not yet recruiting","No Results Available","B-cell Non-Hodgkin's Lymphoma","Drug: Chidamide plus DICE Regimen","objective response rate（ORR）|progression-free survival（PFS）|events-free survival（EFS）|overall survival（OS）","Peking University","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 2","46","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Chidamide plus DICE","April 11, 2017","September 30, 2018","September 30, 2019","April 10, 2017","null","April 11, 2017","","","https://ClinicalTrials.gov/show/NCT03105596"
258,"NCT02890602","Erythropoietin for Management of Anemia Caused by Chemotherapy",,"Active, not recruiting","No Results Available","Diffuse Large B-cell Lymphoma","Drug: Darbepoetin alfa|Drug: R-CHOP","Hematopoietic response|Quality of life as measured by Functional Assessment of Cancer Therapy Scales for anemia|Adverse events as measured by CTCAE v3.0|Proportion of patients requiring red blood cell transfusions|Mean time to response of hemoglobin","Kosin University Gospel Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 2","53","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","EPOMA","September 2012","December 31, 2018","December 31, 2018","September 7, 2016","null","August 8, 2018","","","https://ClinicalTrials.gov/show/NCT02890602"
259,"NCT03263026","Study to Assess Enzastaurin + R-CHOP in Subjects With DLBCL With the Genomic Biomarker DGM1™",,"Recruiting","No Results Available","Diffuse Large B-Cell Lymphoma","Drug: Enzastaurin Hydrochloride|Other: R-CHOP + placebo","Overall survival in subjects who possess the DGM1™ biomarker|Overall survival in subjects who do not possess the DGM1™ biomarker|Safety of enzastaurin by assessing incidence of adverse events/serious adverse events, change of vital signs, ECG results, lab results, and physical exam findings from baseline","Denovo Biopharma LLC","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 3","235","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","DB102-02","March 20, 2018","October 2020","September 2021","August 28, 2017","null","October 2, 2018","Oncology Specialties: Clearview Cancer Institute, Huntsville, Alabama, United States|Central Arkansas Radiation Therapy Institute, Little Rock, Arkansas, United States|Christiana Care Health Services, Inc, Newark, Delaware, United States|Loyola University Medical Center, Maywood, Illinois, United States|Illinois CancerCare, Peoria, Illinois, United States|Orchard Healthcare Research, Skokie, Illinois, United States|Indiana University, Indianapolis, Indiana, United States|Norton Cancer Institute Oncology Practices - St. Matthews Location, Louisville, Kentucky, United States|Regional Cancer Care Associates, MD, Bethesda, Maryland, United States|Minnesota Oncology Hematology Allina Health, Virginia Piper Cancer Institute, Minneapolis, Minnesota, United States|Saint Louis University, Saint Louis, Missouri, United States|Mercy Research, Springfield, Missouri, United States|Comprehensive Cancer Centers of Nevada, Las Vegas, Nevada, United States|Norris Cotton Cancer Center Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|Summit Medical Group, Morristown, New Jersey, United States|San Juan Oncology Associates, Farmington, New Mexico, United States|New York Medical College, Hawthorne, New York, United States|Laura & Isaac Perlmutter Cancer Center at NYU Langone Medical Center, New York, New York, United States|Icahn School of Medicine at Mount Sinai, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Wake Forest University Baptist Medical Center, Winston-Salem, North Carolina, United States|Hematology & Oncology Associates, Inc., Canton, Ohio, United States|Mid Ohio Oncology/Hematology Inc., Columbus, Ohio, United States|Tri-County Hematology & Oncology Associates, Inc., Massillon, Ohio, United States|Toledo Clinic Cancer Centers, Toledo, Ohio, United States|Providence Portland Medical Center, Portland, Oregon, United States|Gibbs Cancer Center, Spartanburg, South Carolina, United States|Avera Cancer Institute, Sioux Falls, South Dakota, United States|University of Texas Southwestern Medical Center - Harold C. Simmons Comprehensive Cancer Center, Dallas, Texas, United States|Baylor Scott and White University Medical Center, Dallas, Texas, United States|Oncology Consultants: Memorial City, Houston, Texas, United States|Baylor College of Medicine (BCM) - Baylor Clinic, Houston, Texas, United States|Virginia Mason Medical Center, Seattle, Washington, United States|Seattle Cancer Center Alliance, Seattle, Washington, United States|University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States|Vince Lombardi Cancer Center (Aurora St. Luke's Medical Center), Milwaukee, Wisconsin, United States|Beijing Cancer Hospital, Beijing, China|Peking University Third Hospital (Hematology Dept), Beijing, China|JiLin Cancer Hospital（Lymphoma hematology Dept), Changchun, China|West China Hospital of Sichuan University (Hematology Dept), Chengdu, China|Second Affiliated Hospital of Dalian Medical University, Dalian, China|Fujian Medical University Union Hospital, Fuzhou, China|GuangDong General Hospital, Guangzhou, China|ZheJiang Cancer Hospital ( Lymphoma Dept), Hangzhou, China|Harbin Medical University Cancer Hospital (Oncology Internal), Harbin, China|Fudan University Shanghai Cancer Hospital, Shanghai, China|Fourth Hospital of Hebei Medical University, Shijiazhuang, China|Tianjin Medical University Cancer Institute and Hospital, Tianjin, China|The First Affiliated Hospital of Medical School of Zhejiang University (Hematology Dept), Zhejiang, China|HeNan Cancer Hospital (Hematology Dept), Zhengzhou, China|The First Affiliated Hospital of ZhengZhou University (Oncology Dept), Zhengzhou, China","","https://ClinicalTrials.gov/show/NCT03263026"
260,"NCT00466258","LINFOTARGAM: Treatment With Chemotherapy Plus Rituximab and Highly Active Antiretroviral Therapy in Patients With Diffuse Large B Cell Lymphoma and Infection With the Human Immunodeficiency Virus (HIV)","LINFOTARGAM","Completed","No Results Available","HIV Infections|Diffuse Large B Cell Lymphoma","Drug: R-CHOP|Drug: Highly active antiretroviral therapy|Drug: Central nervous system (CNS) prophylaxis|Drug: Prophylaxis of opportunistic infections and support treatment","treatment toxicity according to the CTC criteria (version 3.0) of the National Cancer Institute (NCI)|opportunistic and non-opportunistic infections rate after 6 cycles of treatment with R-CHOP administered every 14 days and HAART in patients with DLBCL and HIV infection|adherence to the treatment with 6 cycles of R-CHOP considering the delays in the administration of the cycles and the reductions in the doses of chemotherapy (planned dose administered in predicted term)|efficacy of the treatment in patients with DLBCL and HIV infection after 6 cycles of treatment with R-CHOP administered every 14 days|global response and complete remission rate|duration of the response|event-free survival probability in 5 years|global survival probability in 5 years|predictive factors of the response after 6 cycles of treatment with R-CHOP administered every 14 days in patients with DLBCL and HIV infection|impact of the therapeutic combination of R-CHOP and HAART in the parameters of the HIV infection (HIV viral load and CD4+ lymphocyte count)","PETHEMA Foundation","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2006-003750-23|LINFOTARGAM","October 2006","May 2009","November 2009","April 27, 2007","null","November 25, 2009","H. Son Llatzer, Palma de Mallorca, Baleares, Spain|Germans Trias i Pujol, Badalona, Barcelona, Spain|Consorci Sanitari de Mataró, Mataro, Barcelona, Spain|H. Parc Taulí, Sabadell, Barcelona, Spain|Consorci Sanitari de Terrassa, Terrassa, Barcelona, Spain|Hospital de Navarra, Pamplona, Navarra, Spain|H. Clínic i Provincial, Barcelona, Barcelona, Spain|H. Vall d'Hebron, Barcelona, Barcelona, Spain|Hospital del Mar, Barcelona, Spain|Hospital Sant Pau, Barcelona, Barcelona, Spain|ICO - Duran i Reynals, Hospitalet de Llobregat, Barcelona, Spain|ICO - Josep Trueta, Girona, Spain|H. Gregorio Marañón, Madrid, Spain|H. Joan XXIII, Tarragona, Spain|Hospital Universitario Dr. Peset, Valencia, Spain","","https://ClinicalTrials.gov/show/NCT00466258"
261,"NCT01693614","Safety and Efficacy of BKM120 in Relapsed and Refractory NHL",,"Completed","Has Results","Diffuse Large B-cell Lymphoma, Mantle Cell Lymphoma, Follicular Lymphoma","Drug: Buparlisib","Overall Response Rate (ORR) and Disease Control Rate (DCR) Per Investigator at 6 Months (FAS)|Progression- Free Survival (PFS) Based on Investigator Assessment (FAS)|Duration of Response for Diffuse Large B-cell Lymphoma (DLBCL), and Follicular Lymphoma (FL) Cohorts (FAS)|Overall Survival (OS) - Percentage of Participants With OS Events (FAS)|Percentage of Participants - Overall Survival- Kaplan Meier Estimates (FAS)|Overall Survival - Median (FAS)","Novartis Pharmaceuticals|Novartis","All","18 Years and older   (Adult, Older Adult)","Phase 2","72","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CBKM120Z2402|2012-002208-41","February 28, 2013","July 21, 2017","July 21, 2017","September 26, 2012","September 28, 2018","September 28, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States|University of Nebraska Medical Center Univ Nebraska, Omaha, Nebraska, United States|Memorial Sloan Kettering Dept of Onc., New York, New York, United States|Medical University of South Carolina -Hollings Cancer Center Medical Univ of South Carolina, Charleston, South Carolina, United States|University of Texas MD Anderson Cancer Center Dept.ofMDAndersonCancerCtr(3), Houston, Texas, United States|Novartis Investigative Site, Brugge, Belgium|Novartis Investigative Site, Yvoir, Belgium|Novartis Investigative Site, Marseille, France|Novartis Investigative Site, Pierre-Benite Cedex, France|Novartis Investigative Site, Rennes, France|Novartis Investigative Site, Frankfurt, Germany|Novartis Investigative Site, Wurzburg, Germany|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Gyeonggi-do, Korea, Korea, Republic of|Novartis Investigative Site, Seoul, Korea, Korea, Republic of|Novartis Investigative Site, Salamanca, Castilla Y Leon, Spain|Novartis Investigative Site, Hospitalet de LLobregat, Catalunya, Spain|Novartis Investigative Site, Izmir, Turkey|Novartis Investigative Site, Samsun, Turkey","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT01693614/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/14/NCT01693614/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT01693614"
262,"NCT03671018","A Study to Evaluate the Safety and Efficacy of Mosunetuzumab (BTCT4465A) in Combination With Polatuzumab Vedotin in B-Cell Non-Hodgkin Lymphoma",,"Recruiting","No Results Available","B-cell Non-Hodgkin Lymphoma","Drug: Mosunetuzumab|Drug: Polatuzumab vedotin|Drug: Rituximab|Drug: Bendamustine|Drug: Obinutuzumab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: Tocilizumab","Complete Response (CR) Rate Based on Positron Emission Tomography-Computed Tomography (PET-CT), as Assessed Using Standard Criteria for non-Hodgkin Lymphoma (NHL)|Maximum Tolerated Dose (MTD) of Mosunetuzumab in Combination with Polatuzumab Vedotin|Recommended Phase II Dose of Mosunetuzumab in Combination with Ploatuzumab Vedotin|Percentage of Participants with Adverse Events (AE)|CR Rate Based on PET-CT, as Assessed Using Standard Criteria for NHL|CR Rate Based on CT Only, as Assessed Using Standard Criteria for NHL|Objective Response Rate (ORR), Defined as CR or PR, Based on PET-CT as Assessed Using Standard Criteria for NHL|Best ORR (CR or PR at any Time) Based on PET-CT or CT Only, as Assessed Using Standard Criteria for NHL|Duration of Response (DOR) as Assessed Using Standard Criteria for NHL|Progression-Free Survival (PFS) as Assessed Using Standard Criteria for NHL|Event-Free Survival (EFS) as Assessed Using Standard Criteria for NHL|Overall Survival (OS)|Time to Deterioration in Health Related Quality of Life|Anti-Drug Antibodies (ADAs) to Mosunetuzumab|ADAs to Polatuzumab Vedotin|Mosunetuzumab Serum Concentration","Hoffmann-La Roche","All","18 Years and older   (Adult, Older Adult)","Phase 1","276","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","GO40516|2018-001141-13","September 25, 2018","April 30, 2023","September 28, 2023","September 14, 2018","null","October 1, 2018","City of Hope, Duarte, California, United States","","https://ClinicalTrials.gov/show/NCT03671018"
263,"NCT02857998","A Study of HMPL-523 in Patients With Relapsed or Refractory Mature B-cell Neoplasms",,"Recruiting","No Results Available","Mature B-cell Neoplasms","Drug: HMPL-523","Dose limited toxicities evaluated with NCI CTCAE v4.03|Maximum plasma concentration calculated with Blood samples|Time to reach maximum concentration calculated with Blood samples|Objective response rate|Adverse events evaluated by NCI CTCAE v4.03","Hutchison Medipharma Limited","All","18 Years and older   (Adult, Older Adult)","Phase 1","92","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2015-523-00CH1","December 27, 2016","February 2020","February 2020","August 5, 2016","null","February 26, 2018","BeijingCancer Hospital, Beijing, Beijing, China|Fudan University Shanghai Cancer Hospital, Shanghai, China","","https://ClinicalTrials.gov/show/NCT02857998"
